segment_id,distance,entanglement_speed_factor,gate_time_ns,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_time_ns_contribution,use_log_scale
4_2_1,562.341325190349,56.23413251903491,14677.992676220676,1890630068.0277493,4.02338301148301e-05,0.9981478934376156,9.402641541455931e-09,True
4_2_2,562.341325190349,56.23413251903491,31622.776601683792,1890627571.503426,3.9820664935786894e-05,0.9977712505627864,4.8611367515652296e-08,True
4_2_3,562.341325190349,56.23413251903491,68129.20690579608,1891628683.5774589,5.2735329113971375e-05,1.016980274052891,7.776664780421307e-06,True
4_2_4,562.341325190349,56.23413251903491,146779.92676220674,1893280214.8868425,0.0001009130678469,0.9983225331488632,8.773918097197271e-06,True
4_2_5,562.341325190349,56.23413251903491,316227.7660168379,1897526326.628569,0.0003596464424815,1.0056407271636367,9.799717706506354e-05,True
4_2_6,562.341325190349,56.23413251903491,681292.0690579595,1937446526.1945944,0.0048218272493295,0.9562382124882884,0.0063738307613225,True
4_3_1,562.341325190349,177.82794100389228,14677.992676220676,612006748.0709879,0.037883497759429,1.0439586356782713,3.027069722886045e-06,True
4_3_2,562.341325190349,177.82794100389228,31622.776601683792,617484209.6041797,0.0376066236509408,0.9994707405843865,0.0012569388097307,True
4_3_3,562.341325190349,177.82794100389228,68129.20690579608,621270648.7757527,0.051509561554699,1.0263318237442374,0.0001670553504475,True
4_3_4,562.341325190349,177.82794100389228,146779.92676220674,639988607.0070776,0.0810673233376652,1.0265582310548182,0.0160394008391988,True
4_3_5,562.341325190349,177.82794100389228,316227.7660168379,724703878.1674511,0.1795222097515197,0.6940853987274296,0.2415273193027864,True
4_3_6,562.341325190349,177.82794100389228,681292.0690579595,1128536384.7521727,0.2503949343919642,0.0293009699205808,0.8807985448384222,True
4_4_1,562.341325190349,562.341325190349,14677.992676220676,364473745.0510172,1.0382722532669235,0.0583199862716956,0.0062821011512835,True
4_4_2,562.341325190349,562.341325190349,31622.776601683792,377458880.6870152,0.924280526418944,0.0905098272005519,0.0243036065988945,True
4_4_3,562.341325190349,562.341325190349,68129.20690579608,403661547.8825716,0.9124815197854598,0.0552325642448745,0.0430890642891426,True
4_4_4,562.341325190349,562.341325190349,146779.92676220674,461925291.4085806,0.953264036093992,0.0495682020896156,0.1423804780669331,True
4_4_5,562.341325190349,562.341325190349,316227.7660168379,634625291.8467467,0.4059352564045033,0.0933586529370165,0.7476496640324276,True
4_4_6,562.341325190349,562.341325190349,681292.0690579595,1117150107.6890118,0.2213789502632571,0.0398505088353062,0.8526560501138319,True
4_5_1,562.341325190349,1778.2794100389228,14677.992676220676,360840316.73142815,0.927209631719434,0.0508836215226078,0.0116506081523539,True
4_5_2,562.341325190349,1778.2794100389228,31622.776601683792,372857262.5612033,1.0246050864158065,0.0416036125197702,0.0099232085760788,True
4_5_3,562.341325190349,1778.2794100389228,68129.20690579608,400580085.7813335,1.0315414969801426,0.0471241915171901,0.0506156941740761,True
4_5_4,562.341325190349,1778.2794100389228,146779.92676220674,457185987.4189531,0.985814004035412,0.0541282459582672,0.0908566271377807,True
4_5_5,562.341325190349,1778.2794100389228,316227.7660168379,636857977.2690243,0.4863978033309206,0.1602423934643509,0.6416726719750288,True
4_5_6,562.341325190349,1778.2794100389228,681292.0690579595,1122137434.3173268,0.2320851181675781,0.0168606583960336,0.8834557175396952,True
4_6_1,562.341325190349,5623.413251903491,14677.992676220676,358560024.3333349,0.95568521307704,0.0237880462962716,0.006245394289229,True
4_6_2,562.341325190349,5623.413251903491,31622.776601683792,370461068.9194681,1.0704954583001158,0.0282128994175278,0.0220160830018388,True
4_6_3,562.341325190349,5623.413251903491,68129.20690579608,402609971.60071695,0.9367230914654938,0.0227360721770423,0.0609861709244012,True
4_6_4,562.341325190349,5623.413251903491,146779.92676220674,459809530.4587199,0.9961665612217856,0.0134989622255989,0.1301460069610968,True
4_6_5,562.341325190349,5623.413251903491,316227.7660168379,631089593.4771891,0.3914047791170536,0.0838289812444264,0.7559789177107886,True
4_6_6,562.341325190349,5623.413251903491,681292.0690579595,1119220880.460715,0.2288917311066383,0.0104403936803365,0.9431809941107194,True
5_1_1,1778.2794100389228,17.78279410038923,14677.992676220676,5978566572.817289,3.980350779216559e-05,1.0065580209712397,1.029224827108329e-09,True
5_1_2,1778.2794100389228,17.78279410038923,31622.776601683792,5961506491.051241,3.8425217475648e-05,0.9979547473596574,4.839328443277728e-09,True
5_1_3,1778.2794100389228,17.78279410038923,68129.20690579608,5979086015.994585,3.944137720544492e-05,1.017552303049153,2.2362287520689368e-08,True
5_1_4,1778.2794100389228,17.78279410038923,146779.92676220674,5979550920.716127,3.725099755054322e-05,1.0131187459732984,1.0530042803161686e-07,True
5_1_5,1778.2794100389228,17.78279410038923,316227.7660168379,5983618643.37335,4.67239738230902e-05,1.0046232997148752,4.809484823652344e-07,True
5_1_6,1778.2794100389228,17.78279410038923,681292.0690579595,5990660938.61492,0.0001090328158662,1.0072805281306114,9.560876967937378e-06,True
5_2_1,1778.2794100389228,56.23413251903491,14677.992676220676,1923826880.4707277,0.0227851011008968,1.018540154714692,1.8791309483154372e-06,True
5_2_2,1778.2794100389228,56.23413251903491,31622.776601683792,1925871266.6838171,0.0246560098457076,0.9824545159176696,1.3996086785478834e-07,True
5_2_3,1778.2794100389228,56.23413251903491,68129.20690579608,1928084326.953988,0.0205909747050916,0.971086004693108,4.563622046725143e-06,True
5_2_4,1778.2794100389228,56.23413251903491,146779.92676220674,1939113154.614036,0.0244055189621566,0.9578394164517368,0.0002474201901146,True
5_2_5,1778.2794100389228,56.23413251903491,316227.7660168379,1966345860.6433904,0.0400123642164117,0.980992239335026,0.0020627789645521,True
5_2_6,1778.2794100389228,56.23413251903491,681292.0690579595,2054398657.533956,0.1077370881034036,0.975351333358276,0.0284208058226876,True
