segment_id,coherence_time,entanglement_fidelity,operation_fidelity,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,operation_fidelity_contribution,use_log_scale
3_5_2,17782794100.389156,0.9822172058996108,0.9994376586748096,0.1681384364258205,0.0362986405463715,0.9570517945479988,0.0081941131511335,True
3_5_3,17782794100.389156,0.9822172058996108,0.9982217205899612,0.1897928209925492,0.0369817398871425,0.905462438988926,0.0694999461320256,True
3_5_4,17782794100.389156,0.9822172058996108,0.9943765867480968,0.2539298898760279,0.0222107896285961,0.5938021705702555,0.4584385590881813,True
3_5_5,17782794100.389156,0.9822172058996108,0.9822172058996111,0.4339789943846879,0.0058910164447454,0.1374369023083706,1.0520795329436856,True
3_5_6,17782794100.389156,0.9822172058996108,0.9437658674809656,0.8272102182951799,0.0006280957392548,0.0177463732290326,1.2084514812862095,True
3_6_1,17782794100.389156,0.9437658674809652,0.9998221720589962,0.4072868210960431,0.0039100002031073,0.9928337194407548,0.0001423491245685,True
3_6_2,17782794100.389156,0.9437658674809652,0.9994376586748096,0.4128882624901955,0.003532887104518,0.9937050219895532,0.0007808544162752,True
3_6_3,17782794100.389156,0.9437658674809652,0.9982217205899612,0.4295606660846204,0.0035350994734033,0.975070116054414,0.0075509884237949,True
3_6_4,17782794100.389156,0.9437658674809652,0.9943765867480968,0.4807326769933719,0.0033233304205711,0.929835979551788,0.0691501348057867,True
3_6_5,17782794100.389156,0.9437658674809652,0.9822172058996111,0.6238469594797662,0.0024836638554079,0.6308293536404932,0.4675795954083441,True
3_6_6,17782794100.389156,0.9437658674809652,0.9437658674809656,0.937491943133925,0.0005452727071496,0.1630796008327334,1.0958152339572866,True
4_1_1,56234132519.03468,0.9998221720589962,0.9998221720589962,0.0138225105353956,0.8916902955325156,0.0472540527846677,0.170541334931569,True
4_1_2,56234132519.03468,0.9998221720589962,0.9994376586748096,0.0214970014311083,0.3904908453228634,0.0115572923161513,0.7253953795101088,True
4_1_3,56234132519.03468,0.9998221720589962,0.9982217205899612,0.0450726677478884,0.055772481134095,0.002091482986869,1.1214411115360872,True
4_1_4,56234132519.03468,0.9998221720589962,0.9943765867480968,0.1173542771677653,0.0062324354930724,0.0003526509309702,1.192784369848965,True
4_1_5,56234132519.03468,0.9998221720589962,0.9822172058996111,0.3194518399582214,0.0006691163585196,3.085434810806861e-05,1.2020237193574308,True
4_1_6,56234132519.03468,0.9998221720589962,0.9437658674809656,0.7613228126396884,7.672139987393614e-05,3.397058990236704e-06,1.1976946520597198,True
4_2_1,56234132519.03468,0.9994376586748096,0.9998221720589962,0.0168729451886791,0.7085674210066468,0.1846195157444776,0.156160386849044,True
4_2_2,56234132519.03468,0.9994376586748096,0.9994376586748096,0.0244842414549521,0.3883584186535729,0.0984714538314866,0.6596727015623192,True
4_2_3,56234132519.03468,0.9994376586748096,0.9982217205899612,0.0480654671010391,0.0592115569229528,0.0161050679694377,1.119430745028236,True
4_2_4,56234132519.03468,0.9994376586748096,0.9943765867480968,0.119936751793922,0.0061859417207383,0.0017133272162546,1.187685055565844,True
4_2_5,56234132519.03468,0.9994376586748096,0.9822172058996111,0.3218607182290788,0.0006835363827231,0.0001668060379609,1.2019705599326589,True
4_2_6,56234132519.03468,0.9994376586748096,0.9437658674809656,0.7625900362451853,7.054939263441995e-05,2.050732129068993e-05,1.1981028449239408,True
4_3_1,56234132519.03468,0.9982217205899612,0.9998221720589962,0.0262410137455666,0.2746157212461825,0.6819129039616374,0.0571375520622944,True
4_3_2,56234132519.03468,0.9982217205899612,0.9994376586748096,0.0337303066520151,0.1881228385121288,0.4733190594844305,0.3749552172639288,True
4_3_3,56234132519.03468,0.9982217205899612,0.9982217205899612,0.0571705814525531,0.0525195637203893,0.122414784245716,0.9844879484954476,True
4_3_4,56234132519.03468,0.9982217205899612,0.9943765867480968,0.1286179216861196,0.0055831112478662,0.0148415444926244,1.1757748620881965,True
4_3_5,56234132519.03468,0.9982217205899612,0.9822172058996111,0.3289894099785522,0.0006990392379629,0.0016048908354347,1.1999829324800229,True
4_3_6,56234132519.03468,0.9982217205899612,0.9437658674809656,0.7668867829868213,8.427340004380907e-05,0.0001830040403067,1.200179000042168,True
