segment_id,distance,entanglement_speed_factor,gate_speed_factor,client_gate_speed_factor,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_speed_factor_contribution,use_log_scale,timing_mode
4_4_6,562.341325190349,1124.682650380696,14.789576852506187,1.0,3875382231.8591247,0.006936082744076994,1.5314841034361196e-08,0.9966089764330855,True,factor
4_5_1,562.341325190349,3556.558820077839,0.04676874848402369,1.0,403481844.10065734,0.9716516529864483,0.027915884984026255,0.004353962890575466,True,factor
4_5_2,562.341325190349,3556.558820077839,0.14789576852506187,1.0,421146744.9094275,0.9298532675032372,0.018271243371944343,0.020711562878838324,True,factor
4_5_3,562.341325190349,3556.558820077839,0.46768748484023687,1.0,477457338.6658123,0.9307818380991781,0.006193503294569318,0.09162324075293551,True,factor
4_5_4,562.341325190349,3556.558820077839,1.4789576852506185,1.0,702391476.8843902,0.4238303322817177,7.911189256245081e-05,0.5826549042948168,True,factor
4_5_5,562.341325190349,3556.558820077839,4.676874848402369,1.0,1463926228.889731,0.06662291588131071,2.534132290393779e-07,0.9319820194758406,True,factor
4_5_6,562.341325190349,3556.558820077839,14.789576852506187,1.0,3875103862.5067053,0.006696644612840336,1.8280790231890568e-08,0.9922882908225266,True,factor
4_6_1,562.341325190349,11246.82650380696,0.04676874848402369,1.0,405591056.45373654,0.9441276788286602,0.0056718104160509,0.006913854576986072,True,factor
4_6_2,562.341325190349,11246.82650380696,0.14789576852506187,1.0,420357825.94732475,0.9974282416031648,0.004344005614647206,0.024284645988481807,True,factor
4_6_3,562.341325190349,11246.82650380696,0.46768748484023687,1.0,476940604.63229924,0.93696779107561,0.0008745071379119176,0.09728093704458565,True,factor
4_6_4,562.341325190349,11246.82650380696,1.4789576852506185,1.0,702197872.3489401,0.4192989929792759,2.0163123722170346e-05,0.5828550435457337,True,factor
4_6_5,562.341325190349,11246.82650380696,4.676874848402369,1.0,1464025681.9951212,0.06944025254793054,1.1859110517441223e-07,0.9210102026075414,True,factor
4_6_6,562.341325190349,11246.82650380696,14.789576852506187,1.0,3875381804.643518,0.007106828777216047,2.1014199465240002e-08,0.9921946594698089,True,factor
5_1_1,1778.2794100389228,35.56558820077842,0.04676874848402369,1.0,2989572596.1471086,3.983179996956128e-05,1.0062306514865065,2.8439799033286235e-09,True,factor
5_1_2,1778.2794100389228,35.56558820077842,0.14789576852506187,1.0,2989770435.0423574,3.988118791687728e-05,0.9983638108422297,2.8457958251030912e-08,True,factor
5_1_3,1778.2794100389228,35.56558820077842,0.46768748484023687,1.0,2991224051.4368067,0.0001176241129384511,1.0001496448226725,4.694919970242687e-05,True,factor
5_1_4,1778.2794100389228,35.56558820077842,1.4789576852506185,1.0,2998304223.7718315,0.0007417291080527961,0.9902010764080038,0.0004613546903846817,True,factor
5_1_5,1778.2794100389228,35.56558820077842,4.676874848402369,1.0,3116574453.350815,0.024652702603070367,0.9767250190183473,0.042075599973697905,True,factor
5_1_6,1778.2794100389228,35.56558820077842,14.789576852506187,1.0,4659296861.727766,0.06387377720872364,0.09739790096555043,0.8807101509240801,True,factor
5_2_1,1778.2794100389228,112.46826503806972,0.04676874848402369,1.0,1188702578.3114998,0.717820351168422,0.46788522208925887,0.0006361098758303973,True,factor
